code,name,animal_proportion,has_meat_or_poultry,has_fish,has_seafood,ingredient_subgroup_code,fao_subgroup_code
B93,Valio Eila laktoositon kevytmaitojuoma,1.0,0,0,0,1001,401
F000001,Sokeri,0.0,0,0,0,1101,1205
F000002,Hedelmäsokeri,0.0,0,0,0,1101,1205
F000003,Siirappi,0.0,0,0,0,1101,1205
F000004,Hunaja,1.0,0,0,0,1101,1205
F000005,"Makeinen, karamelli",0.0,0,0,0,1101,1204
F000006,"Suklaa, keskiarvo",0.15,0,0,0,1101,1202
F000007,"Suklaakonvehti, marmeladitäyte",0.2,0,0,0,1101,1202
F000008,Lakritsi,0.0,0,0,0,1101,1204
F000009,"Makeinen, marmeladimakeinen",0.0,0,0,0,1101,1204
F000010,"Marsipaani, mantelimassa",0.0,0,0,0,1101,1204
F000011,"Makeinen, toffee",0.52,0,0,0,1101,1204
F000012,"Makeinen, salmiakkipastilli",0.0,0,0,0,1101,1204
F000014,"Suklaapatukka suklainen, keskiarvo",0.2,0,0,0,1101,1202
F000020,"Kaakaojauhe, ei lisättyä sokeria",0.0,0,0,0,1401,1403
F000021,"Kaakaojauhe, sokeroitu",0.0,0,0,0,1401,1403
F000025,Liivate,1.0,0,0,0,901,702
F000026,"Hiiva, tuore",0.0,0,0,0,1401,1706
F000027,"Jauho, maissitärkkelys",0.0,0,0,0,506,102
F000028,Sinappi,0.0,0,0,0,1401,1302
F000029,"Lihaliemi, laimennettu",0.5,1,0,0,901,702
F000030,"Ruokasuola, jodioitu",0.0,0,0,0,1401,1301
F000031,"Maustekastike, soijakastike",0.0,0,0,0,604,1302
F000032,"Suklaa, tumma",0.0,0,0,0,1101,1202
F000033,"Suklaa, maitosuklaa",0.2,0,0,0,1101,1204
F000034,Halva seesamsiemenvalmiste,0.0,0,0,0,1101,1204
F000035,"Makeinen, sokeriton",0.0,0,0,0,1101,1204
F000036,Mineraalisuola keskiarvo,0.0,0,0,0,1401,1301
F000037,"Suklaa, sokeriton, makeutettu sorbitolilla",0.15,0,0,0,1101,1202
F000038,Lihaliemijauhe/tiiviste,0.5,1,0,0,901,702
F000039,"Makeutusaine aspartaami, jauhe",0.0,0,0,0,1401,1701
F000040,"Välipalapatukka, kuituinen",0.0,0,0,0,506,106
F000043,Ruismallas,0.0,0,0,0,502,110
F000044,"Suklaapatukka täytesuklaa, keskiarvo",0.2,0,0,0,1101,1202
F000062,Ksylitolipastilli,0.0,0,0,0,1401,1204
F000063,Suklaapatukka vähärasvainen,0.1,0,0,0,1101,1202
F000065,Ksylitolipurukumi,0.0,0,0,0,1401,1204
F000066,Purukumi,0.0,0,0,0,1401,1204
F000069,"Hedelmäpastilli, arabikumipastilli",0.0,0,0,0,1101,1204
F000070,Makeutusaine sakariini,0.0,0,0,0,1401,1701
F000074,Leivinjauhe,0.0,0,0,0,1401,1706
F000075,Kalaliemi laimennettu,0.1,0,1,0,604,603
F000079,"Ruokasuola, jodioimaton, vuorisuola",0.0,0,0,0,1401,1301
F000100,"Jauho, ruisjauho, täysjyväjauho",0.0,0,0,0,502,110
F000103,Ruishiutale,0.0,0,0,0,502,110
F000110,"Jauho, vehnäjauho, puolikarkea",0.0,0,0,0,501,103
F000111,"Jauho, grahamjauho",0.0,0,0,0,501,103
F000112,Mannasuurimo,0.0,0,0,0,501,103
F000113,"Mannasuurimo, tumma",0.0,0,0,0,501,103
F000114,Vehnähiutale,0.0,0,0,0,501,103
F000116,"Lese, vehnälese",0.0,0,0,0,501,103
F000117,"Makaroni, pasta",0.0,0,0,0,501,103
F000119,"Makaroni, tumma",0.0,0,0,0,501,103
F000120,"Nuudeli, vehnänuudeli",0.0,0,0,0,501,103
F000121,"Pasta, spagetti, makaroni",0.0,0,0,0,501,103
F000123,"Makaroni, tumma, keitetty, suolaton",0.0,0,0,0,501,103
F000124,"Jauho, hiivaleipävehnäjauho",0.0,0,0,0,501,103
F000125,"Jauho, jauhoseos, sämpyläjauho, vehnäjauho, ruisjauho, vehnärouhe",0.0,0,0,0,501,103
F000126,"Jauho, korppujauho",0.0,0,0,0,501,103
F000142,"Jauho, vehnäjauho, leipomoteollisuus, vastajauhettu",0.0,0,0,0,501,103
F000150,Ohrajauho,0.0,0,0,0,504,106
F000151,Ohrasuurimo,0.0,0,0,0,504,106
F000152,Ohrahiutale,0.0,0,0,0,504,106
F000153,Kaurahiutale,0.0,0,0,0,503,111
F000154,"Talkkunajauho, sisältää ohraa",0.0,0,0,0,504,111
F000156,Riisi puuroutuva,0.0,0,0,0,505,101
F000158,Täysjyväriisi,0.0,0,0,0,505,101
F000160,Hirssisuurimo / -jauho,0.0,0,0,0,506,106
F000161,"Jauho, tattarisuurimo tai -jauho",0.0,0,0,0,506,106
F000162,"Jauho, perunajauho tai -suurimo, perunatärkkelys",0.0,0,0,0,506,201
F000163,"Muro, maissihiutale, corn flakes",0.0,0,0,0,506,102
F000165,Pellavansiemen kokonainen/rouhe,0.0,0,0,0,201,303
F000167,"Maissi, jyvä, kuivattu",0.0,0,0,0,506,102
F000168,Kalja- / mämmimallas,0.0,0,0,0,506,106
F000170,"Lese, kauralese",0.0,0,0,0,503,111
F000172,Pinaattispagetti pasta sisältää kananmunaa,0.2,0,0,0,501,103
F000173,"Kauramakaroni, sisältää vehnää ja kauraa",0.0,0,0,0,501,103
F000175,"Rouhe, vehnärouhe kokojyvästä",0.0,0,0,0,501,103
F000176,Ruisrouhe,0.0,0,0,0,502,110
F000177,"Riisi, luonnonriisi riisi-villiriisiseos, keitetty, suolaton",0.0,0,0,0,505,101
F000181,"Näkkileipä, gluteeniton",0.0,0,0,0,502,110
F000182,"Jauho, riisijauho, riisihiutale",0.0,0,0,0,505,101
F000184,"Maissilastu, tacokuori",0.0,0,0,0,506,102
F000185,Gluteeniton jauhoseos vehnätärkkelysvalmiste,0.0,0,0,0,501,103
F000202,"Peruna, kuivattu",0.0,0,0,0,301,201
F000203,"Perunalastu, sipsi",0.0,0,0,0,301,1901
F000204,"Peruna, uusi",0.0,0,0,0,301,201
F000205,"Peruna, vanha, kuorittu",0.0,0,0,0,301,201
F000206,"Perunasosejauhe, valmistamaton",0.05,0,0,0,301,201
F000207,Ranskanperunavalmiste,0.0,0,0,0,301,201
F000209,Perunahiutale,0.0,0,0,0,301,201
F000300,Porkkana,0.0,0,0,0,101,906
